Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openmrs.fhir.core.json	52745	-	0	0	0	0	0	0	13	335	0	0	0	0	0	0	0	2	0	0	489	373	0	0	0	19	0	2
fsh-generated/resources/SearchParameter-location-address-city.json	465	5	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	30	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-location-name.json	425	2	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	46	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-serviceRequest-patient.json	474	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	75	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-MedicationRequest-patient.json	497	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	48	0	0	0	0	0	0
fsh-generated/resources/Encounter-5b829d01-34bb-47d1-b1bb-9303c3a9ebcb.json	850	5	1	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-serviceRequest-encounter.json	498	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-Encounter-patient-name.json	481	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-condition-requester.json	476	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-omrs-group-description-ext.json	1419	13	0	0	0	0	0	37	0	61	0	0	1	0	0	0	0	0	0	0	50	1431	0	0	0	5	0	0
fsh-generated/resources/SearchParameter-location-id.json	425	3	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-Practitioner-lastUpdated.json	514	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-person-address-country.json	465	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-MedicationRequest-subject-given.json	547	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-Encounter-participant.given.json	513	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-AllergyIntolerance-patient-family.json	554	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	24	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-OpenMRS-diagnostic-report.json	3992	20	0	0	0	0	0	398	0	203	0	0	0	0	0	0	0	1	0	0	246	1995	0	0	0	10	0	1
fsh-generated/resources/SearchParameter-group-Search-entity-paramenter.json	437	2	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
